aEVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10320181,OKALOOSA CO., ,01/06/1995,2000,Thunderstorm Wind,0, ,0,0,20000,0,FL,EST, , ,C,91, ,0,0, , ,0,0,0, ,10,N,CEW, , , , ,1
10320224,MARION CO.,Summerfield,01/07/1995,550,Tornado,0,F2,1,20,2800000,0,FL,EST, , ,C,83, ,0,0, , ,12,440,0, ,41,SSE,GNV,29.00,-82.12,29.00,-81.92,2
10317705,CITRUS CO.,Hernando,01/07/1995,555,Thunderstorm Wind,0, ,0,0,20000,0,FL,EST, , ,C,17, ,0,0, , ,0,0,0, ,46,S,GNV, , , , ,3
10320162,LAKE CO.,Lady Lake,01/07/1995,625,Thunderstorm Wind,0, ,0,0,0,0,FL,EST, , ,C,69, ,0,0, , ,0,0,0, ,48,WSW,DAB, , , , ,4
10318419,PUTNAM CO.,Interlachen,01/07/1995,640,Thunderstorm Wind,0, ,0,0,15000,0,FL,EST, , ,C,107, ,0,0, , ,0,0,0, ,19,E,GNV, , , , ,5
10320245,HERNANDO CO.,Ridge Manor,01/07/1995,700,Thunderstorm Wind,0, ,0,0,1000,0,FL,EST, , ,C,53, ,0,0, , ,0,0,0, ,37,NNE,TPA, , , , ,6
10319666,ORANGE CO.,Orlando,01/07/1995,815,Tornado,0,F1,0,0,500000,0,FL,EST, , ,C,95, ,0,0, , ,2,40,0, ,0, , ,28.55,-81.37, , ,7
10320119,MANATEE CO.,Palmetto,01/07/1995,816,Thunderstorm Wind,0, ,0,0,40000,0,FL,EST, , ,C,81, ,0,0, , ,0,0,0, ,27,S,TPA, , , , ,8
10318373,LEE CO.,Cape Coral,01/07/1995,950,Thunderstorm Wind,0, ,0,0,6000,0,FL,EST, , ,C,71, ,0,0, , ,0,0,0, ,5,WNW,FMY, , , , ,9
10318374,LEE CO.,Cape Coral,01/07/1995,1105,Thunderstorm Wind,0, ,0,0,2000,0,FL,EST, , ,C,71, ,0,0, , ,0,0,0, ,5,WNW,FMY, , , , ,10
