EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,
5587371,SANTA ROSA CO.,AVALON BEACH,01/09/1997,5,Thunderstorm Wind,50, ,0,0,2000,0,FL,CST, ,2057624,C,113,MOB,0,0, , , , , , , , ,AVALON BEACH,30.6,-87.02,30.6,-87.02,1,
5588903,TAYLOR CO.,PERRY,01/09/1997,725,Thunderstorm Wind, , ,0,0,20000,0,FL,EST, ,2058343,C,123,TAE,0,0, , , , ,1,SE,1,SE,PERRY,30.1,-83.57,30.1,-83.57,2,
5586723,SUWANNEE CO.,LIVE OAK,01/09/1997,820,Tornado, ,F0,0,0,100000,0,FL,EST, ,2057908,C,121,JAX,0,0, , ,1.5,30,10,NW,12,NNW,LIVE OAK,30.4,-83.1,30.45,-83.05,3,
5612235,LEVY CO.,CHIEFLAND,01/09/1997,1108,Thunderstorm Wind, , ,0,0,1000,0,FL,EST, ,2066890,C,75,TBW,0,0, , , , ,32,SE,32,SE,CHIEFLAND, , , , ,4,
5612236,PINELLAS CO.,CLEARWATER,01/09/1997,1245,Thunderstorm Wind, , ,0,0,10000,0,FL,EST, ,1045388,C,103,TBW,0,0, , , , ,3,E,3,E,CLEARWATER, , , , ,5,
5612237,PASCO CO.,ZEPHYRHILLS,01/09/1997,1337,Thunderstorm Wind,60, ,0,0,0,0,FL,EST, ,2066891,C,101,TBW,0,0, , , , , , , , ,ZEPHYRHILLS,28.23,-82.18,28.23,-82.18,6,
5612238,HILLSBOROUGH CO.,TAMPA,01/09/1997,1340,Thunderstorm Wind, , ,0,0,10000,0,FL,EST, ,2066892,C,57,TBW,0,0, , , , , , ,8,E,TAMPA,27.98,-82.47,27.98,-82.33,7,
5612239,MANATEE CO.,ANNA MARIA,01/09/1997,1435,Tornado, ,F0,0,0,3000,0,FL,EST, ,1045391,C,81,TBW,0,0, , ,0.1,5, , , , ,ANNA MARIA,27.53,-82.73,27.53,-82.73,8,
5612240,SARASOTA CO.,SARASOTA,01/09/1997,1612,Tornado, ,F0,0,0,0,0,FL,EST, ,2066893,C,115,TBW,0,0, , ,0.1,5, , , , ,SARASOTA,27.33,-82.53,27.33,-82.53,9,
5585129,COLLIER CO.,NEAR NAPLES,01/09/1997,2100,Funnel Cloud, , ,0,0,0,0,FL,EST, ,2057418,C,21,MFL,0,0, , , , , , , , ,NEAR NAPLES, , , , ,10,
5585130,PALM BEACH CO.,NORTH OF GUN CLUB RD,01/09/1997,2340,Tornado, ,F1,0,0,75000,0,FL,EST, ,2057419,C,99,MFL,0,0, , ,1,25, , , , ,SOUTH OF GUN CLUB RD,26.67,-80.5,26.67,-80.5,11,
5587376,SANTA ROSA CO.,PACE,01/15/1997,2130,Thunderstorm Wind,50, ,0,0,3000,0,FL,CST, ,2057629,C,113,MOB,0,0, , , , , , , , ,PACE,30.6,-87.15,30.6,-87.15,12,
5587377,SANTA ROSA CO.,MILTON T FLD,01/15/1997,2145,Tornado, ,F1,0,0,100000,0,FL,CST, ,2057630,C,113,MOB,0,0, , ,1.1,50,0,W,0,NE,MILTON T FLD,30.63,-87,30.63,-87,13,
5587378,OKALOOSA CO.,BAKER,01/15/1997,2205,Thunderstorm Wind,50, ,0,0,1500,0,FL,CST, ,2057631,C,91,MOB,0,0, , , , , , , , ,BAKER,30.8,-86.7,30.8,-86.7,14,
