EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,,,
5228038,OKALOOSA CO.,EGLIN AFB,01/19/2001,845,Thunderstorm Wind,60, ,0,0,0,0,FL,CST,M,1110287,C,91,MOB,0,0,OTHER FEDERAL AGENCY, , , , , , , ,EGLIN AFB,30.48,-86.53,30.48,-86.53,1,,,
5228043,COASTAL ESCAMBIA (ZONE), ,01/19/2001,855,High Wind,50, ,0,0,0,0,FL,CST,M,1110292,Z,2,MOB,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , ,2
5234104,PUTNAM CO.,PALATKA,03/03/2001,900,Thunderstorm Wind, , ,0,0,0,0,FL,EST, ,1111807,C,107,JAX,0,0,EMERGENCY MANAGER, , , , , , , ,PALATKA, , , , ,3,,,
5235815,ESCAMBIA CO.,NORTH PORTION,03/03/2001,1200,Flash Flood, , ,0,0,5000,0,FL,CST, ,1112125,C,33,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,NORTH PORTION, , , , ,4,,,
5235816,SANTA ROSA CO.,NORTH PORTION,03/03/2001,1200,Flash Flood, , ,0,0,5000,0,FL,CST, ,1112125,C,113,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,NORTH PORTION, , , , ,5,,,
5237865,JACKSON CO.,MARIANNA MUNI ARPT,03/03/2001,2121,Thunderstorm Wind,51, ,0,0,0,0,FL,EST,M,1112341,C,63,TAE,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,MARIANNA MUNI ARPT,30.83,-85.18,30.83,-85.18,6
5234097,ALACHUA CO.,GAINESVILLE,03/04/2001,700,Thunderstorm Wind, , ,0,0,3000,0,FL,EST, ,1111801,C,1,JAX,0,0,BROADCAST MEDIA, , , , , , , ,GAINESVILLE, , , , ,7,,,
5234018,MARION CO.,MARTEL,03/04/2001,720,Tornado, ,F0,0,0,80000,0,FL,EST, ,1111798,C,83,JAX,0,0,EMERGENCY MANAGER, ,2.5,20,1,S,2,N,MARTEL,29.17,-82.27,29.2,-82.27,8,,,
5238290,CITRUS CO.,LECANTO,03/04/2001,738,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,1112371,C,17,TBW,0,0,LAW ENFORCEMENT, , , , , , , ,INVERNESS,28.85,-82.48,28.83,-82.33,9,,,
5234095,MARION CO.,OCALA,03/04/2001,750,Tornado, ,F0,0,0,150000,0,FL,EST, ,1111799,C,83,JAX,0,0,EMERGENCY MANAGER, ,0.5,50,5,NE,6,NE,OCALA,29.23,-82.07,29.23,-82.07,10,,,
5238292,PINELLAS CO.,TARPON SPGS,03/04/2001,757,Thunderstorm Wind, , ,0,0,10000,0,FL,EST, ,1112373,C,103,TBW,0,0,UTILITY COMPANY, , , , , , , ,TARPON SPGS,28.15,-82.75,28.15,-82.75,11,,,
5238291,PASCO CO.,HUDSON,03/04/2001,803,Thunderstorm Wind, , ,0,0,100000,0,FL,EST, ,1112372,C,101,TBW,0,0,NWS STORM SURVEY, , , , , ,3,NE,HUDSON,28.37,-82.7,28.4,-82.67,12,,,
5238188,PASCO CO.,HUDSON,03/04/2001,803,Tornado, ,F0,0,0,250000,0,FL,EST, ,1112369,C,101,TBW,0,0,NWS STORM SURVEY, ,4.7,50,1,SSE,5,ENE,HUDSON,28.35,-82.7,28.4,-82.63,13,,,
5234096,MARION CO.,OCALA,03/04/2001,831,Thunderstorm Wind, , ,0,0,80000,0,FL,EST, ,1111800,C,83,JAX,0,0,EMERGENCY MANAGER, , , ,10,E,10,E,OCALA,29.18,-81.97,29.18,-81.97,14,,,
5238293,MANATEE CO.,BRADENTON BEACH,03/04/2001,1120,Thunderstorm Wind, , ,0,0,100000,0,FL,EST, ,1112374,C,81,TBW,0,0,UTILITY COMPANY, , , , , , , ,ELLENTON,27.47,-82.7,27.52,-82.53,15,,,
5238294,SARASOTA CO.,SARASOTA,03/04/2001,1126,Thunderstorm Wind, , ,0,0,150000,0,FL,EST, ,1112375,C,115,TBW,0,0,UTILITY COMPANY, , , , , ,6,E,SARASOTA,27.33,-82.53,27.33,-82.43,16,,,
5235680,ESCAMBIA CO.,WALNUT HILL,03/12/2001,1220,Thunderstorm Wind,60, ,0,0,15000,0,FL,CST,E,1112104,C,33,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,WALNUT HILL,30.88,-87.5,30.88,-87.5,17,,,
5235681,SANTA ROSA CO.,JAY,03/12/2001,1240,Thunderstorm Wind,60, ,0,0,15000,0,FL,CST,E,1112105,C,113,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,JAY,30.95,-87.15,30.95,-87.15,18,,,
5235685,ESCAMBIA CO.,MOLINO,03/12/2001,1310,Thunderstorm Wind,55, ,0,0,15000,0,FL,CST,E,1112109,C,33,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,MOLINO,30.72,-87.32,30.72,-87.32,19,,,
5235686,OKALOOSA CO.,BLACKMAN,03/12/2001,1320,Thunderstorm Wind,55, ,0,0,15000,0,FL,CST,E,1112110,C,91,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,BLACKMAN,30.92,-86.65,30.92,-86.65,20,,,
5235687,OKALOOSA CO.,LAUREL HILL,03/12/2001,1415,Thunderstorm Wind,55, ,0,0,10000,0,FL,CST,E,1112111,C,91,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,LAUREL HILL,30.97,-86.47,30.97,-86.47,21,,,
5237997,BAY CO.,PANAMA CITY BEACH,03/12/2001,1721,Thunderstorm Wind, , ,0,0,50000,0,FL,EST, ,1112350,C,5,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,PANAMA CITY BEACH,30.18,-85.8,30.18,-85.8,22,,,
5237998,CALHOUN CO.,NORTHWEST PORTION,03/12/2001,1800,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1112350,C,13,TAE,0,0,TRAINED SPOTTER, , , , , , , ,NORTHWEST PORTION, , , , ,23,,,
5234017,HAMILTON CO.,JASPER,03/13/2001,200,Tornado, ,F2,0,0,80000,0,FL,EST, ,1111797,C,47,JAX,0,0,EMERGENCY MANAGER, ,3.5,30,12,SSW,11,SW,JASPER,30.35,-83.03,30.42,-83.07,24,,,
5234100,NASSAU CO.,CALLAHAN,03/13/2001,330,Thunderstorm Wind, , ,0,0,1500,0,FL,EST, ,1111804,C,89,JAX,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,CALLAHAN,30.57,-81.82,30.57,-81.82,25,,,
5234037,NASSAU CO.,YULEE,03/13/2001,340,Tornado, ,F0,0,0,10000,0,FL,EST, ,1111824,C,89,JAX,0,0,OFFICIAL NWS OBS., ,0.1,75,5,E,5,E,YULEE,30.63,-81.52,30.63,-81.52,26,,,
5234143,PUTNAM CO.,PALATKA,03/13/2001,900,Thunderstorm Wind, , ,0,0,1500,0,FL,EST, ,1111837,C,107,JAX,0,0,TRAINED SPOTTER, , , ,5,S,5,S,PALATKA,29.58,-81.63,29.58,-81.63,27,,,
5242108,VOLUSIA CO.,DAYTONA BEACH,03/13/2001,1050,Tornado, ,F1,0,5,5000000,0,FL,EST, ,1112761,C,127,MLB,0,0,EMERGENCY MANAGER, ,2.5,300, , , , ,DAYTONA BEACH,29.22,-81.03,29.22,-81.03,28,,,
5240387,VOLUSIA CO.,DAYTONA BEACH,03/13/2001,1055,Thunderstorm Wind,60, ,0,1,30000,0,FL,EST,E,1112761,C,127,MLB,0,0,EMERGENCY MANAGER, , , , , , , ,DAYTONA BEACH,29.22,-81.03,29.22,-81.03,29,,,
5235818,SANTA ROSA CO.,MILTON,03/15/2001,42,Thunderstorm Wind,50, ,0,0,35000,0,FL,CST,M,1112127,C,113,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,MILTON,30.63,-87.03,30.63,-87.03,30,,,
5235819,OKALOOSA CO.,CRESTVIEW,03/15/2001,115,Thunderstorm Wind,55, ,0,0,15000,0,FL,CST,E,1112128,C,91,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,CRESTVIEW,30.75,-86.6,30.75,-86.6,31,,,
5238186,WASHINGTON CO.,WAUSAU,03/15/2001,430,Tornado, ,F2,1,21,1500000,0,FL,EST, ,1112367,C,133,TAE,0,0,EMERGENCY MANAGER, ,7,350,3,SE,6,E,WAUSAU,30.6,-85.55,30.63,-85.48,32,,,
5238187,JACKSON CO.,ROUND LAKE,03/15/2001,440,Tornado, ,F2,0,0,500000,0,FL,EST, ,1112368,C,63,TAE,0,0,EMERGENCY MANAGER, ,3,300,2,SW,3,NE,ROUND LAKE,30.63,-85.42,30.68,-85.37,33,,,
