EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,,
5277290,MONROE CO.,(EYW)KEY WEST INL AR,01/02/2002,930,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1130048,C,87,EYW,0,0,GENERAL PUBLIC, , , , , , , ,(EYW)KEY WEST INL AR, , , , ,1,,
5277281,MIAMI-DADE CO.,HOMESTEAD,01/02/2002,1540,Tornado, ,F1,0,0,50000,0,FL,EST, ,1130044,C,86,MFL,0,0,AMATEUR RADIO, ,10,50,10,W, , ,HOMESTEAD,25.47,-80.63,25.47,-80.47,2,,
5277399,MONROE CO.,OCEAN REEF,01/02/2002,1600,Thunderstorm Wind,56, ,0,0,0,0,FL,EST,M,1130052,C,87,EYW,0,0,OFFICIAL NWS OBS., , , , , , , ,OCEAN REEF,25.32,-80.28,25.32,-80.28,3,,
5276781,SANTA ROSA CO.,NAVARRE,01/05/2002,2355,Thunderstorm Wind,70, ,0,0,720000,0,FL,CST,E,1130251,C,113,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,NAVARRE,30.4,-86.87,30.4,-86.87,4,,
5283582,PALM BEACH CO.,WEST PALM BEACH,02/10/2002,1000,Heavy Rain, , ,0,0,0,0,FL,EST, ,1130918,C,99,MFL,0,0,NEWSPAPER, , , , , , , ,WEST PALM BEACH, , , , ,5,,
5283583,PALM BEACH CO.,PALM SPGS,02/23/2002,1437,Thunderstorm Wind,58, ,0,0,0,0,FL,EST,E,1130919,C,99,MFL,0,0,UNKNOWN, , , , , , , ,PALM SPGS,26.67,-80.05,26.67,-80.05,6,,
5286759,DUVAL CO.,MANDARIN,02/26/2002,1655,Thunderstorm Wind, , ,0,0,0,0,FL,EST, ,1131843,C,31,JAX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,SUNBEAM, , , , ,7,,
5281024,SARASOTA (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,2000,0,FL,EST, ,1131182,Z,60,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , 
5281033,HARDEE (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,0,0,FL,EST, ,1131182,Z,56,TBW,0,0,UNKNOWN, , , , , , , , , , , , ,9,,
5281025,MANATEE (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,0,0,FL,EST, ,1131182,Z,55,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , 
5281027,HILLSBOROUGH (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,0,0,FL,EST, ,1131182,Z,51,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , 
5281026,PINELLAS (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,0,0,FL,EST, ,1131182,Z,50,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , 
5281032,DE SOTO (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,0,0,FL,EST, ,1131182,Z,61,TBW,0,0,UNKNOWN, , , , , , , , , , , , ,13,,
5281031,LEE (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,3000,0,FL,EST, ,1131182,Z,65,TBW,0,0,NEWSPAPER, , , , , , , , , , , , ,14,,
5281034,HIGHLANDS (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,0,0,FL,EST, ,1131182,Z,57,TBW,0,0,UNKNOWN, , , , , , , , , , , , ,15,,
5281028,PASCO (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,2000,0,FL,EST, ,1131182,Z,49,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , 
5281029,POLK (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,0,0,FL,EST, ,1131182,Z,52,TBW,0,0,NEWSPAPER, , , , , , , , , , , , ,17,,
5281030,CHARLOTTE (ZONE), ,03/02/2002,1100,High Wind, , ,0,0,0,0,FL,EST, ,1131182,Z,62,TBW,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , , , , , , 
5285716,CALHOUN CO.,COUNTYWIDE,03/03/2002,200,Flash Flood, , ,0,0,10000,0,FL,EST, ,1132018,C,13,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE, , , , ,19,,
5285714,LEON CO.,COUNTYWIDE,03/03/2002,200,Flash Flood, , ,0,0,1000000,0,FL,EST, ,1132018,C,73,TAE,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE, , , , ,20,,
5285718,WAKULLA CO.,COUNTYWIDE,03/03/2002,200,Flash Flood, , ,0,0,20000,0,FL,EST, ,1132018,C,129,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE, , , , ,21,,
5285715,JEFFERSON CO.,COUNTYWIDE,03/03/2002,300,Flash Flood, , ,0,0,20000,0,FL,EST, ,1132018,C,65,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE, , , , ,22,,
5285717,MADISON CO.,COUNTYWIDE,03/03/2002,300,Flash Flood, , ,0,0,10000,0,FL,EST, ,1132018,C,79,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE, , , , ,23,,
5285884,ESCAMBIA CO.,PENSACOLA,03/12/2002,1200,Thunderstorm Wind,50, ,0,0,20000,0,FL,CST,E,1132066,C,33,MOB,0,0,NEWSPAPER, , , , , , , ,PENSACOLA,30.42,-87.22,30.42,-87.22,24,,
5285639,BAY CO.,BAYOU GEORGE,03/12/2002,1536,Thunderstorm Wind, , ,0,0,75000,0,FL,EST, ,1132013,C,5,TAE,0,0,NEWSPAPER, , , , , , , ,BAYOU GEORGE,30.27,-85.53,30.27,-85.53,25,,
5285641,BAY CO.,SOUTHWEST PORTION,03/12/2002,1545,Thunderstorm Wind, , ,0,0,2000,0,FL,EST, ,1132013,C,5,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,SOUTHWEST PORTION,30.25,-85.83,30.25,-85.83,26,,
5285642,JACKSON CO.,MARIANNA MUNI ARPT,03/12/2002,1545,Thunderstorm Wind, , ,0,0,250000,0,FL,EST, ,1132013,C,63,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,MARIANNA MUNI ARPT,30.83,-85.18,30.83,-85.18,27,,
5285643,GULF CO.,NORTHEAST PORTION,03/12/2002,1640,Thunderstorm Wind, , ,0,0,50000,0,FL,EST, ,1132013,C,45,TAE,0,0,LAW ENFORCEMENT, , , , , , , ,NORTHEAST PORTION,30.08,-85.18,30.08,-85.18,28,,
5285645,LIBERTY CO.,SUMATRA,03/12/2002,1725,Thunderstorm Wind, , ,0,0,5000,0,FL,EST, ,1132015,C,77,TAE,0,0,LAW ENFORCEMENT, , , , , , , ,SUMATRA,30.02,-84.98,30.02,-84.98,29,,
5285646,FRANKLIN CO.,COUNTYWIDE,03/12/2002,1730,Thunderstorm Wind, , ,0,0,15000,0,FL,EST, ,1132015,C,37,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,29.87,-84.7,29.87,-84.7,30,,
5285648,WAKULLA CO.,COUNTYWIDE,03/12/2002,1755,Thunderstorm Wind, , ,0,0,10000,0,FL,EST, ,1132015,C,129,TAE,0,0,LAW ENFORCEMENT, , , , , , , ,COUNTYWIDE,30.13,-84.38,30.13,-84.38,31,,
5285712,TAYLOR CO.,PERRY,03/12/2002,1907,Thunderstorm Wind, , ,0,0,1000,0,FL,EST, ,1132017,C,123,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,PERRY,30.12,-83.58,30.12,-83.58,32,,
5285713,MADISON CO.,COUNTYWIDE,03/12/2002,1910,Thunderstorm Wind, , ,0,0,2000,0,FL,EST, ,1132017,C,79,TAE,0,0,EMERGENCY MANAGER, , , , , , , ,COUNTYWIDE,30.5,-83.47,30.5,-83.47,33,,
5286756,MARION CO.,DUNNELLON,03/12/2002,2100,Thunderstorm Wind, , ,0,0,500,0,FL,EST, ,1131840,C,83,JAX,0,0,NWS STORM SURVEY, , , , , , , ,DUNNELLON, , , , ,34,,
